ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,daily_high_freq,daily_high_freq_lower,daily_high_freq_upper,day_of_week,day_of_week_lower,day_of_week_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,hour,hour_lower,hour_upper,is_weekend,is_weekend_lower,is_weekend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,storm_outage,storm_outage_lower,storm_outage_upper,weekly,weekly_lower,weekly_upper,weekly_high_freq,weekly_high_freq_lower,weekly_high_freq_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1995-08-23 00:00:00,2201913.336681362,287097.6003767376,3089535.4697826905,2201913.336681362,2201913.336681362,-0.043758199999588514,-0.043758199999588514,-0.043758199999588514,-0.08246649829971381,-0.08246649829971381,-0.08246649829971381,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.21096145882397313,-0.21096145882397313,-0.21096145882397313,0.0,0.0,0.0,0.009162684073784602,0.009162684073784602,0.009162684073784602,-0.14617782315075237,-0.14617782315075237,-0.14617782315075237,0.0,0.0,0.0,1737394.4869710994
1995-08-23 00:05:00,2201722.8691094667,220605.55175764163,3178546.775483673,2201722.8691094667,2201722.8691094667,-0.04696211056440112,-0.04696211056440112,-0.04696211056440112,-0.1019907393877046,-0.1019907393877046,-0.1019907393877046,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.2362413126189464,-0.2362413126189464,-0.2362413126189464,0.0,0.0,0.0,0.00908434816948511,0.00908434816948511,0.00908434816948511,-0.14865118938862268,-0.14865118938862268,-0.14865118938862268,0.0,0.0,0.0,1681584.9684878935
1995-08-23 00:10:00,2201532.401537572,228118.92052856108,3080136.3992455862,2201532.401537572,2201532.401537572,-0.05026334066245017,-0.05026334066245017,-0.05026334066245017,-0.10257364149419113,-0.10257364149419113,-0.10257364149419113,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.24262346066533838,-0.24262346066533838,-0.24262346066533838,0.0,0.0,0.0,0.009008068721519512,0.009008068721519512,0.009008068721519512,-0.15107292578251344,-0.15107292578251344,-0.15107292578251344,0.0,0.0,0.0,1667388.991509653
1995-08-23 00:15:00,2201341.9339656774,236798.15631892547,3250487.4298522794,2201341.9339656774,2201341.9339656774,-0.053652309539485694,-0.053652309539485694,-0.053652309539485694,-0.08322866922267314,-0.08322866922267314,-0.08322866922267314,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.22911150825416762,-0.22911150825416762,-0.22911150825416762,0.0,0.0,0.0,0.008933853013957308,0.008933853013957308,0.008933853013957308,-0.15344276105826304,-0.15344276105826304,-0.15344276105826304,0.0,0.0,0.0,1696989.1632916548
1995-08-23 00:20:00,2201151.4663937828,303494.664572022,3300753.4753983966,2201151.4663937828,2201151.4663937828,-0.05711942147965735,-0.05711942147965735,-0.05711942147965735,-0.056167168561094875,-0.056167168561094875,-0.056167168561094875,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.20790684679338367,-0.20790684679338367,-0.20790684679338367,0.0,0.0,0.0,0.0088617082592157,0.0088617082592157,0.0088617082592157,-0.1557603435641441,-0.1557603435641441,-0.1557603435641441,0.0,0.0,0.0,1743517.0057012187
1995-08-23 00:25:00,2200960.998821888,333595.4568671967,3298940.264845143,2200960.998821888,2200960.998821888,-0.06065514059369009,-0.06065514059369009,-0.06065514059369009,-0.03935809471307453,-0.03935809471307453,-0.03935809471307453,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.19696845814630212,-0.19696845814630212,-0.19696845814630212,0.0,0.0,0.0,0.008791641598359446,0.008791641598359446,0.008791641598359446,-0.15802524299019394,-0.15802524299019394,-0.15802524299019394,0.0,0.0,0.0,1767441.1044437957
1995-08-23 00:30:00,2200770.5312499935,282912.3204555796,3221443.465659531,2200770.5312499935,2200770.5312499935,-0.0642500621356724,-0.0642500621356724,-0.0642500621356724,-0.04297928598533435,-0.04297928598533435,-0.04297928598533435,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.20646426197079362,-0.20646426197079362,-0.20646426197079362,0.0,0.0,0.0,0.008723660100520263,0.008723660100520263,0.008723660100520263,-0.16023695250260406,-0.16023695250260406,-0.16023695250260406,0.0,0.0,0.0,1746390.0677483922
1995-08-23 00:35:00,2200580.0636780984,151955.35560197526,3091696.0769717633,2200580.0636780984,2200580.0636780984,-0.06789497972812004,-0.06789497972812004,-0.06789497972812004,-0.06132705809466464,-0.06132705809466464,-0.06132705809466464,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.23068077974699466,-0.23068077974699466,-0.23068077974699466,0.0,0.0,0.0,0.008657770763128394,0.008657770763128394,0.008657770763128394,-0.16239489123963527,-0.16239489123963527,-0.16239489123963527,0.0,0.0,0.0,1692948.5386931435
1995-08-23 00:40:00,2200389.5961062037,118765.57258689805,2981211.5053303675,2200389.5961062037,2200389.5961062037,-0.07158094801650229,-0.07158094801650229,-0.07158094801650229,-0.07830809626840442,-0.07830809626840442,-0.07830809626840442,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.2535150924001027,-0.2535150924001027,-0.2535150924001027,0.0,0.0,0.0,0.008593980511837294,0.008593980511837294,0.008593980511837294,-0.1644984071793303,-0.1644984071793303,-0.1644984071793303,0.0,0.0,0.0,1642557.6243331148
1995-08-23 00:45:00,2200199.1285343086,139499.11102785554,3052938.044398654,2200199.1285343086,2200199.1285343086,-0.0752993402228298,-0.0752993402228298,-0.0752993402228298,-0.08256757793948358,-0.08256757793948358,-0.08256757793948358,0.03416887044529018,0.03416887044529018,0.03416887044529018,0.05227837855229694,0.05227837855229694,0.05227837855229694,0.0,0.0,0.0,0.01810950810700676,0.01810950810700676,0.01810950810700676,0.0,0.0,0.0,-0.263603023733607,-0.263603023733607,-0.263603023733607,0.0,0.0,0.0,0.008532296200355359,0.008532296200355359,0.008532296200355359,-0.16654678032394596,-0.16654678032394596,-0.16654678032394596,0.0,0.0,0.0,1620219.9854366179
