ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily_pattern,daily_pattern_lower,daily_pattern_upper,day_of_week,day_of_week_lower,day_of_week_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,hour,hour_lower,hour_upper,is_weekend,is_weekend_lower,is_weekend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,storm_outage,storm_outage_lower,storm_outage_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1995-07-01 00:00:00,14982982.209439998,4841153.525558387,13201653.243096108,14982982.209439998,14982982.209439998,-0.1811640429975106,-0.1811640429975106,-0.1811640429975106,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21414803263357707,-0.21414803263357707,-0.21414803263357707,0.0,0.0,0.0,0.01689916211103491,0.01689916211103491,0.01689916211103491,-0.223451,-0.223451,-0.223451,-0.39531207563108767,-0.39531207563108767,-0.39531207563108767,0.0,0.0,0.0,0.0,0.0,0.0,9060028.413082613
1995-07-01 00:15:00,14989496.715771573,4740857.485023666,13196018.62616903,14989496.715771573,14989496.715771573,-0.17757214492252119,-0.17757214492252119,-0.17757214492252119,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21414803263357707,-0.21414803263357707,-0.21414803263357707,0.0,0.0,0.0,0.01689916211103491,0.01689916211103491,0.01689916211103491,-0.223451,-0.223451,-0.223451,-0.3917201775560982,-0.3917201775560982,-0.3917201775560982,0.0,0.0,0.0,0.0,0.0,0.0,9117808.40079298
1995-07-01 00:30:00,14996011.222103145,4765807.144476403,13060326.563847043,14996011.222103145,14996011.222103145,-0.18301167140258864,-0.18301167140258864,-0.18301167140258864,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21414803263357707,-0.21414803263357707,-0.21414803263357707,0.0,0.0,0.0,0.01689916211103491,0.01689916211103491,0.01689916211103491,-0.223451,-0.223451,-0.223451,-0.39715970403616574,-0.39715970403616574,-0.39715970403616574,0.0,0.0,0.0,0.0,0.0,0.0,9040199.84340964
1995-07-01 00:45:00,15002525.72843472,3872330.6914352225,12401125.752913065,15002525.72843472,15002525.72843472,-0.24048712379428355,-0.24048712379428355,-0.24048712379428355,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21414803263357707,-0.21414803263357707,-0.21414803263357707,0.0,0.0,0.0,0.01689916211103491,0.01689916211103491,0.01689916211103491,-0.223451,-0.223451,-0.223451,-0.4546351564278606,-0.4546351564278606,-0.4546351564278606,0.0,0.0,0.0,0.0,0.0,0.0,8181850.097074797
1995-07-01 01:00:00,15009040.234766288,3172958.709886105,11328732.277560705,15009040.234766288,15009040.234766288,-0.29410802911207495,-0.29410802911207495,-0.29410802911207495,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21561752499105835,-0.21561752499105835,-0.21561752499105835,0.0,0.0,0.0,0.015429669753553615,0.015429669753553615,0.015429669753553615,-0.223451,-0.223451,-0.223451,-0.5097255541031334,-0.5097255541031334,-0.5097255541031334,0.0,0.0,0.0,0.0,0.0,0.0,7358548.884543819
1995-07-01 01:15:00,15015554.741097862,3172308.7588718627,11721560.005965615,15015554.741097862,15015554.741097862,-0.29030716316003596,-0.29030716316003596,-0.29030716316003596,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21561752499105835,-0.21561752499105835,-0.21561752499105835,0.0,0.0,0.0,0.015429669753553615,0.015429669753553615,0.015429669753553615,-0.223451,-0.223451,-0.223451,-0.5059246881510943,-0.5059246881510943,-0.5059246881510943,0.0,0.0,0.0,0.0,0.0,0.0,7418814.891292241
1995-07-01 01:30:00,15022069.247429434,3591295.3040706497,11949105.1949194,15022069.247429434,15022069.247429434,-0.26815600723174937,-0.26815600723174937,-0.26815600723174937,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21561752499105835,-0.21561752499105835,-0.21561752499105835,0.0,0.0,0.0,0.015429669753553615,0.015429669753553615,0.015429669753553615,-0.223451,-0.223451,-0.223451,-0.4837735322228077,-0.4837735322228077,-0.4837735322228077,0.0,0.0,0.0,0.0,0.0,0.0,7754789.746304882
1995-07-01 01:45:00,15028583.753761008,2953525.1271585957,11577125.282477777,15028583.753761008,15028583.753761008,-0.2865223432349913,-0.2865223432349913,-0.2865223432349913,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21561752499105835,-0.21561752499105835,-0.21561752499105835,0.0,0.0,0.0,0.015429669753553615,0.015429669753553615,0.015429669753553615,-0.223451,-0.223451,-0.223451,-0.5021398682260497,-0.5021398682260497,-0.5021398682260497,0.0,0.0,0.0,0.0,0.0,0.0,7482132.688023304
1995-07-01 02:00:00,15035098.26009258,2522116.7389013986,10885986.302929591,15035098.26009258,15035098.26009258,-0.33823732158146824,-0.33823732158146824,-0.33823732158146824,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21708701734853963,-0.21708701734853963,-0.21708701734853963,0.0,0.0,0.0,0.013960177396072318,0.013960177396072318,0.013960177396072318,-0.223451,-0.223451,-0.223451,-0.5553243389300079,-0.5553243389300079,-0.5553243389300079,0.0,0.0,0.0,0.0,0.0,0.0,6685742.258058957
1995-07-01 02:15:00,15041612.766424153,1609798.2471310417,10490943.103638614,15041612.766424153,15041612.766424153,-0.3903393302829386,-0.3903393302829386,-0.3903393302829386,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21708701734853963,-0.21708701734853963,-0.21708701734853963,0.0,0.0,0.0,0.013960177396072318,0.013960177396072318,0.013960177396072318,-0.223451,-0.223451,-0.223451,-0.6074263476314783,-0.6074263476314783,-0.6074263476314783,0.0,0.0,0.0,0.0,0.0,0.0,5904940.861228114
1995-07-01 02:30:00,15048127.272755727,962396.9653216717,9328941.061658407,15048127.272755727,15048127.272755727,-0.44086341449065347,-0.44086341449065347,-0.44086341449065347,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21708701734853963,-0.21708701734853963,-0.21708701734853963,0.0,0.0,0.0,0.013960177396072318,0.013960177396072318,0.013960177396072318,-0.223451,-0.223451,-0.223451,-0.6579504318391931,-0.6579504318391931,-0.6579504318391931,0.0,0.0,0.0,0.0,0.0,0.0,5147205.435274958
1995-07-01 02:45:00,15054641.779087298,235977.14108130775,8753337.646953683,15054641.779087298,15054641.779087298,-0.4889822572173376,-0.4889822572173376,-0.4889822572173376,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21708701734853963,-0.21708701734853963,-0.21708701734853963,0.0,0.0,0.0,0.013960177396072318,0.013960177396072318,0.013960177396072318,-0.223451,-0.223451,-0.223451,-0.7060692745658773,-0.7060692745658773,-0.7060692745658773,0.0,0.0,0.0,0.0,0.0,0.0,4425021.77927798
1995-07-01 03:00:00,15061156.28541887,165110.56309225986,8082875.557054079,15061156.28541887,15061156.28541887,-0.5086930096762815,-0.5086930096762815,-0.5086930096762815,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21855650970602095,-0.21855650970602095,-0.21855650970602095,0.0,0.0,0.0,0.01249068503859102,0.01249068503859102,0.01249068503859102,-0.223451,-0.223451,-0.223451,-0.7272495193823024,-0.7272495193823024,-0.7272495193823024,0.0,0.0,0.0,0.0,0.0,0.0,4107937.6155062537
1995-07-01 03:15:00,15067670.791750442,103263.90403300781,8877632.885742838,15067670.791750442,15067670.791750442,-0.4922271900334106,-0.4922271900334106,-0.4922271900334106,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21855650970602095,-0.21855650970602095,-0.21855650970602095,0.0,0.0,0.0,0.01249068503859102,0.01249068503859102,0.01249068503859102,-0.223451,-0.223451,-0.223451,-0.7107836997394316,-0.7107836997394316,-0.7107836997394316,0.0,0.0,0.0,0.0,0.0,0.0,4357815.999934292
1995-07-01 03:30:00,15074185.298082016,712112.1316379647,8952894.71125399,15074185.298082016,15074185.298082016,-0.4726157830190599,-0.4726157830190599,-0.4726157830190599,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21855650970602095,-0.21855650970602095,-0.21855650970602095,0.0,0.0,0.0,0.01249068503859102,0.01249068503859102,0.01249068503859102,-0.223451,-0.223451,-0.223451,-0.6911722927250809,-0.6911722927250809,-0.6911722927250809,0.0,0.0,0.0,0.0,0.0,0.0,4655326.084643963
1995-07-01 03:45:00,15080699.804413589,402418.2998640906,8901492.051797,15080699.804413589,15080699.804413589,-0.4772260459446796,-0.4772260459446796,-0.4772260459446796,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.21855650970602095,-0.21855650970602095,-0.21855650970602095,0.0,0.0,0.0,0.01249068503859102,0.01249068503859102,0.01249068503859102,-0.223451,-0.223451,-0.223451,-0.6957825556507006,-0.6957825556507006,-0.6957825556507006,0.0,0.0,0.0,0.0,0.0,0.0,4587811.953497682
1995-07-01 04:00:00,15087214.310745163,134243.07098988467,8692791.971263377,15087214.310745163,15087214.310745163,-0.4989763405544988,-0.4989763405544988,-0.4989763405544988,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.22002600206350223,-0.22002600206350223,-0.22002600206350223,0.0,0.0,0.0,0.011021192681109725,0.011021192681109725,0.011021192681109725,-0.223451,-0.223451,-0.223451,-0.719002342618001,-0.719002342618001,-0.719002342618001,0.0,0.0,0.0,0.0,0.0,0.0,4239471.877739562
1995-07-01 04:15:00,15093728.817076735,-391790.05748059077,8020791.529824463,15093728.817076735,15093728.817076735,-0.5249673824801933,-0.5249673824801933,-0.5249673824801933,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.22002600206350223,-0.22002600206350223,-0.22002600206350223,0.0,0.0,0.0,0.011021192681109725,0.011021192681109725,0.011021192681109725,-0.223451,-0.223451,-0.223451,-0.7449933845436956,-0.7449933845436956,-0.7449933845436956,0.0,0.0,0.0,0.0,0.0,0.0,3849000.7002580278
1995-07-01 04:30:00,15100243.323408308,-875992.0188833004,7559979.602816026,15100243.323408308,15100243.323408308,-0.5529598108573166,-0.5529598108573166,-0.5529598108573166,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.22002600206350223,-0.22002600206350223,-0.22002600206350223,0.0,0.0,0.0,0.011021192681109725,0.011021192681109725,0.011021192681109725,-0.223451,-0.223451,-0.223451,-0.7729858129208188,-0.7729858129208188,-0.7729858129208188,0.0,0.0,0.0,0.0,0.0,0.0,3427969.4627613705
1995-07-01 04:45:00,15106757.829739878,-1009917.368892009,6991079.552468808,15106757.829739878,15106757.829739878,-0.5736772098402982,-0.5736772098402982,-0.5736772098402982,-0.007596194744611943,-0.007596194744611943,-0.007596194744611943,-0.22002600206350223,-0.22002600206350223,-0.22002600206350223,0.0,0.0,0.0,0.011021192681109725,0.011021192681109725,0.011021192681109725,-0.223451,-0.223451,-0.223451,-0.7937032119038006,-0.7937032119038006,-0.7937032119038006,0.0,0.0,0.0,0.0,0.0,0.0,3116475.6188224494
