ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,daily_pattern,daily_pattern_lower,daily_pattern_upper,day_of_week,day_of_week_lower,day_of_week_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,hour,hour_lower,hour_upper,is_weekend,is_weekend_lower,is_weekend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,storm_outage,storm_outage_lower,storm_outage_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1995-08-23 00:00:00,7229602.867550419,965489.027411106,9200692.667140214,7229602.867550419,7229602.867550419,-0.08181349999953125,-0.08181349999953125,-0.08181349999953125,-0.11018965700105587,-0.11018965700105587,-0.11018965700105587,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.011436880582194098,0.011436880582194098,0.011436880582194098,0.0,0.0,0.0,0.007681825430931232,0.007681825430931232,0.007681825430931232,0.0,0.0,0.0,-0.28587844267782136,-0.28587844267782136,-0.28587844267782136,0.0,0.0,0.0,-0.10531216625942832,-0.10531216625942832,-0.10531216625942832,0.0,0.0,0.0,5162815.258595994
1995-08-23 00:15:00,7228671.111950672,872501.7050843694,9165564.166473962,7228671.111950672,7228671.111950672,-0.09370525766346524,-0.09370525766346524,-0.09370525766346524,-0.08949098618095531,-0.08949098618095531,-0.08949098618095531,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.011436880582194098,0.011436880582194098,0.011436880582194098,0.0,0.0,0.0,0.007681825430931232,0.007681825430931232,0.007681825430931232,0.0,0.0,0.0,-0.27795832729454634,-0.27795832729454634,-0.27795832729454634,0.0,0.0,0.0,-0.10619896403231993,-0.10619896403231993,-0.10619896403231993,0.0,0.0,0.0,5219401.781110455
1995-08-23 00:30:00,7227739.356350922,857569.628955268,9502782.889605096,7227739.356350922,7227739.356350922,-0.10633474831859702,-0.10633474831859702,-0.10633474831859702,-0.08064536023596712,-0.08064536023596712,-0.08064536023596712,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.011436880582194098,0.011436880582194098,0.011436880582194098,0.0,0.0,0.0,0.007681825430931232,0.007681825430931232,0.007681825430931232,0.0,0.0,0.0,-0.28257995977073913,-0.28257995977073913,-0.28257995977073913,0.0,0.0,0.0,-0.10703673179836908,-0.10703673179836908,-0.10703673179836908,0.0,0.0,0.0,5185325.059799891
1995-08-23 00:45:00,7226807.600751175,552185.1041358946,8676850.310641803,7226807.600751175,7226807.600751175,-0.11949091802978541,-0.11949091802978541,-0.11949091802978541,-0.12880723804048677,-0.12880723804048677,-0.12880723804048677,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.011436880582194098,0.011436880582194098,0.011436880582194098,0.0,0.0,0.0,0.007681825430931232,0.007681825430931232,0.007681825430931232,0.0,0.0,0.0,-0.3446866700590935,-0.3446866700590935,-0.3446866700590935,0.0,0.0,0.0,-0.10782539457101545,-0.10782539457101545,-0.10782539457101545,0.0,0.0,0.0,4735823.353690506
1995-08-23 01:00:00,7225875.845151426,354991.1131840673,8367285.920102153,7225875.845151426,7225875.845151426,-0.13298103021565377,-0.13298103021565377,-0.13298103021565377,-0.1734888773350726,-0.1734888773350726,-0.1734888773350726,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010768895762113121,0.010768895762113121,0.010768895762113121,0.0,0.0,0.0,0.007013840610850255,0.007013840610850255,0.007013840610850255,0.0,0.0,0.0,-0.40426590711469607,-0.40426590711469607,-0.40426590711469607,0.0,0.0,0.0,-0.1085648953260828,-0.1085648953260828,-0.1085648953260828,0.0,0.0,0.0,4304700.591913113
1995-08-23 01:15:00,7224944.089551676,66873.05519699228,8577289.61369745,7224944.089551676,7224944.089551676,-0.14663917808095242,-0.14663917808095242,-0.14663917808095242,-0.1569367076303007,-0.1569367076303007,-0.1569367076303007,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010768895762113121,0.010768895762113121,0.010768895762113121,0.0,0.0,0.0,0.007013840610850255,0.007013840610850255,0.007013840610850255,0.0,0.0,0.0,-0.40206218479166295,-0.40206218479166295,-0.40206218479166295,0.0,0.0,0.0,-0.10925519484252291,-0.10925519484252291,-0.10925519484252291,0.0,0.0,0.0,4320067.283908917
1995-08-23 01:30:00,7224012.333951928,28786.82283114025,8751947.03952276,7224012.333951928,7224012.333951928,-0.1603305230574208,-0.1603305230574208,-0.1603305230574208,-0.11973923380664281,-0.11973923380664281,-0.11973923380664281,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010768895762113121,0.010768895762113121,0.010768895762113121,0.0,0.0,0.0,0.007013840610850255,0.007013840610850255,0.007013840610850255,0.0,0.0,0.0,-0.3791971326361105,-0.3791971326361105,-0.3791971326361105,0.0,0.0,0.0,-0.10989627153415996,-0.10989627153415996,-0.10989627153415996,0.0,0.0,0.0,4484687.57078946
1995-08-23 01:45:00,7223080.578352179,147930.4680189329,8815275.18546905,7223080.578352179,7223080.578352179,-0.1739511049875389,-0.1739511049875389,-0.1739511049875389,-0.12419538215681213,-0.12419538215681213,-0.12419538215681213,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010768895762113121,0.010768895762113121,0.010768895762113121,0.0,0.0,0.0,0.007013840610850255,0.007013840610850255,0.007013840610850255,0.0,0.0,0.0,-0.3978657126614664,-0.3978657126614664,-0.3978657126614664,0.0,0.0,0.0,-0.1104881212792285,-0.1104881212792285,-0.1104881212792285,0.0,0.0,0.0,4349264.476434892
1995-08-23 02:00:00,7222148.82275243,-106637.01217342129,8181446.923648133,7222148.82275243,7222148.82275243,-0.18742344565047897,-0.18742344565047897,-0.18742344565047897,-0.1640532123650805,-0.1640532123650805,-0.1640532123650805,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010100910942032144,0.010100910942032144,0.010100910942032144,0.0,0.0,0.0,0.006345855790769279,0.006345855790769279,0.006345855790769279,0.0,0.0,0.0,-0.4524065043149873,-0.4524065043149873,-0.4524065043149873,0.0,0.0,0.0,-0.11103075724145998,-0.11103075724145998,-0.11103075724145998,0.0,0.0,0.0,3954801.7202084023
1995-08-23 02:15:00,7221217.067152684,-584350.6329016769,7753340.823010982,7221217.067152684,7221217.067152684,-0.20068852188004146,-0.20068852188004146,-0.20068852188004146,-0.20592685865030058,-0.20592685865030058,-0.20592685865030058,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010100910942032144,0.010100910942032144,0.010100910942032144,0.0,0.0,0.0,0.006345855790769279,0.006345855790769279,0.006345855790769279,0.0,0.0,0.0,-0.5080386792757293,-0.5080386792757293,-0.5080386792757293,0.0,0.0,0.0,-0.11152420968741938,-0.11152420968741938,-0.11152420968741938,0.0,0.0,0.0,3552559.4855930787
1995-08-23 02:30:00,7220285.311552933,-865355.5448542414,7234975.13874464,7220285.311552933,7220285.311552933,-0.2136949911533635,-0.2136949911533635,-0.2136949911533635,-0.2475211906405926,-0.2475211906405926,-0.2475211906405926,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010100910942032144,0.010100910942032144,0.010100910942032144,0.0,0.0,0.0,0.006345855790769279,0.006345855790769279,0.006345855790769279,0.0,0.0,0.0,-0.5630837966499183,-0.5630837966499183,-0.5630837966499183,0.0,0.0,0.0,-0.11196852579799432,-0.11196852579799432,-0.11196852579799432,0.0,0.0,0.0,3154659.64542807
1995-08-23 02:45:00,7219353.555953187,-1621831.3250723283,6758361.815638452,7219353.555953187,7219353.555953187,-0.22638678840546103,-0.22638678840546103,-0.22638678840546103,-0.2863853280333017,-0.2863853280333017,-0.2863853280333017,0.0037550551512628657,0.0037550551512628657,0.0037550551512628657,0.010100910942032144,0.010100910942032144,0.010100910942032144,0.0,0.0,0.0,0.006345855790769279,0.006345855790769279,0.006345855790769279,0.0,0.0,0.0,-0.6150349749724445,-0.6150349749724445,-0.6150349749724445,0.0,0.0,0.0,-0.11236376947571396,-0.11236376947571396,-0.11236376947571396,0.0,0.0,0.0,2779198.6223502904
